tier,specialty,procedure,low_cost,highest_cost,mean_cost,estimated_stay_days,general_ward_cost_per_day,twin_sharing_cost_per_day,single_private_room_cost_per_day
Town 1,General Surgery,Cholecystectomy,19800,55000,33000,3,750,1700,3000
Town 1,Neurology,Brain/Spine Surgery,66000,228800,127600,10,750,1700,3000
Town 1,Neurology,Laminectomy,37400,105600,66000,4,750,1700,3000
Town 1,Neurology,EEG,700,2900,1500,0,750,1700,3000
Town 1,Oncology,Chemotherapy,2200,24200,11000,0,750,1700,3000
Town 1,Oncology,Cancer Surgery,39600,158400,85800,10,750,1700,3000
Town 1,Oncology,Radiotherapy,28600,114400,66000,0,750,1700,3000
Town 1,Gynecology,Normal Delivery,11000,33000,21100,3,750,1700,3000
Town 1,Gynecology,C-Section,19800,46200,29900,4,750,1700,3000
Town 1,Gynecology,Hysterectomy,19800,59400,35200,4,750,1700,3000
Town 1,Urology,PCNL,19800,61600,37400,3,750,1700,3000
Town 1,Urology,TURP,22000,59400,37400,3,750,1700,3000
Town 1,Urology,Lithotripsy,13200,39600,24200,0,750,1700,3000
Town 2,Cardiology,Angiography,2900,28800,12600,1,500,1150,2000
Town 2,Cardiology,Angioplasty,34200,100800,59400,3,500,1150,2000
Town 2,Cardiology,CABG,63000,162000,99000,10,500,1150,2000
Town 2,Cardiology,Pacemaker,43200,126000,75600,3,500,1150,2000
Town 2,Orthopedics,Knee Replacement,39600,144000,86400,4,500,1150,2000
Town 2,Orthopedics,Hip Replacement,46800,151200,93600,5,500,1150,2000
Town 2,Orthopedics,Fracture ORIF,12600,54000,27000,5,500,1150,2000
Town 2,Orthopedics,Arthroscopy,16200,57600,32400,1,500,1150,2000
Town 2,General Surgery,Appendectomy,13700,34200,21600,3,500,1150,2000
Town 2,General Surgery,Hernia Repair,15100,39600,25200,2,500,1150,2000
Town 2,General Surgery,Cholecystectomy,16200,45000,27000,3,500,1150,2000
Town 2,Neurology,Brain/Spine Surgery,54000,187200,104400,10,500,1150,2000
Town 2,Neurology,Laminectomy,30600,86400,54000,4,500,1150,2000
Town 2,Neurology,EEG,500,2300,1300,0,500,1150,2000
Town 2,Oncology,Chemotherapy,1800,19800,9000,0,500,1150,2000
Town 2,Oncology,Cancer Surgery,32400,129600,70200,10,500,1150,2000
Town 2,Oncology,Radiotherapy,23400,93600,54000,0,500,1150,2000
Town 2,Gynecology,Normal Delivery,9000,27000,17300,3,500,1150,2000
Town 2,Gynecology,C-Section,16200,37800,24500,4,500,1150,2000
Town 2,Gynecology,Hysterectomy,16200,48600,28800,4,500,1150,2000
Town 2,Urology,PCNL,16200,50400,30600,3,500,1150,2000
Town 2,Urology,TURP,18000,48600,30600,3,500,1150,2000
Town 2,Urology,Lithotripsy,10800,32400,19800,0,500,1150,2000
